Speed,Vision,Run,TTL
3.243442,14.6742,4.039523,0
7.434768,7.519351,9.180754,0
13.51453,13.21395,17.26567,0
14.20536,7.828856,17.25624,0
9.285019,10.79585,11.78854,0
9.841913,11.08426,12.19075,0
11.45313,7.448393,16.51741,0
5.708751,13.50478,8.019428,0
12.41211,9.484402,15.27588,0
3.240699,9.020679,4.608346,0
5.269765,5.38544,6.362061,0
11.14719,6.20621,14.4898,0
14.81129,13.34501,21.01592,0
3.919679,6.942677,5.195323,0
11.87625,5.95298,17.0513,0
13.3896,9.467116,17.25931,0
4.696652,7.969702,6.192912,0
13.15347,9.576708,18.28208,0
14.15917,5.856311,19.33954,0
6.887649,5.55536,8.504151,0
9.449921,10.12603,13.62372,0
3.42255,14.01114,4.206001,0
6.243495,12.95108,7.831127,0
5.546599,9.061852,6.66427,0
10.81391,6.857546,16.13462,0
9.649069,14.36549,12.69855,0
11.26897,12.43225,14.93658,0
8.509959,10.14667,12.09082,0
4.488457,10.65244,6.286108,0
12.57788,5.328118,16.8425,0
11.27936,5.156329,15.21045,0
13.90306,13.26694,18.16447,0
8.502017,14.92132,11.80155,0
12.3875,5.600863,15.08714,0
11.84614,11.18549,14.69138,0
10.98226,14.42575,15.01291,0
5.055429,12.98352,7.338161,0
4.419574,6.851773,5.790791,0
4.469587,7.167635,5.541943,0
5.250142,10.32858,7.344084,0
4.696652,15,5.849414,0
3,14.6742,3.95574,0
4.696652,14.6742,6.192912,0
3.243442,15,4.276737,0
4.696652,15,5.849414,0
3,14.6742,3.95574,0
4.696652,14.6742,6.192912,0
3.243442,15,4.276737,0
10.53063,8.190792,15.18201,0
9.85235,13.43599,14.16306,0
10.53063,8.190792,15.18201,0
9.85235,13.43599,14.16306,0
7.434768,7.519351,9.180754,0
7.434768,7.519351,9.24715,0
7.434768,7.519351,9.180754,0
7.434768,7.519351,9.24715,0
7.282804,7.63081,9.711657,0
8.769665,6.728501,11.86932,0
7.282804,7.63081,9.711657,0
8.769665,6.728501,11.86932,0
10.47149,6.20621,13.61148,0
12.29056,6.20621,15.97602,0
12.29056,9.751055,15.97602,0
3.919679,6.942677,5.195323,0
5.645401,11.98965,7.454887,0
10.47149,6.20621,13.61148,0
12.29056,6.20621,15.97602,0
12.29056,9.751055,15.97602,0
3.919679,6.942677,5.195323,0
5.645401,11.98965,7.454887,0
4.488457,10.65244,6.048435,0
4.488457,10.65244,6.243033,0
8.154228,7.759869,11.42004,0
9.237252,7.759869,12.93682,0
9.449921,10.12603,13.62372,0
9.449921,10.12603,13.62372,0
8.502017,10.12603,12.25716,0
8.502017,10.12603,12.25716,0
4.488457,10.65244,6.048435,0
4.488457,10.65244,6.243033,0
8.154228,7.759869,11.42004,0
9.237252,7.759869,12.93682,0
